id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date
10702,4,"86,000",peryear,"Providence, RI, US",Project Manager,Boutique,2-5 People,Yes,Unpaid Overtime,15.0,,Full-time,21-25,46-50,Male,No,,,,Mar '17
10701,8,"90,000",peryear,"Miami, FL, US",Project Manager,Starchitect,201-500 People,Yes,Unpaid Overtime,21.0,"2,000",Full-time,16-20,41-45,Male,Licensed,UG:Universidad de Belgrano,Grad:Universidad de Belgrano,,Mar '17
10699,8,"90,000",peryear,"Irvine, CA, US",Project Manager,Boutique,16-30 People,Yes,Unpaid Overtime,15.0,"8,000",Full-time,11-15,36-40,Male,Licensed,UG:Woodbury University,,,Mar '17
10698,6,"49,000",peryear,"Oakland, CA, US",Owner,Boutique,1 People,,No Overtime,,,Part-time,31-40,51-55,Male,Licensed,UG:University of Oregon,Grad:Architectural Association School of Architecture (AA),,Mar '17
10697,6,"63,500",peryear,"Chicago, IL, US",BIM Specialist,Boutique,51-100 People,Yes,Unpaid Overtime,30.0,,Full-time,6-7,26-30,Male,No,UG:University of Illinois at Chicago,,,Mar '17
10696,8,"65,000",peryear,"Spokane, WA, US",Project Manager,,11-15 People,,,,,,11-15,31-35,Male,No,,,,Mar '17
10695,2,"62,400",peryear,"Stamford, CT, US",Intermediate Designer,Boutique,2-5 People,,No Overtime,10.0,,Full-time,11-15,31-35,Female,No,UG:University of Hartford,Grad:University at Buffalo,,Mar '17
10693,3,"50,000",peryear,"Denver, CO, US",Associate,Individual,11-15 People,Yes,Unpaid Overtime,10.0,"10,000",Full-time,3-5,36-40,Female,No,UG:Iowa State University,,,Mar '17
10692,9,"112,000",peryear,"Johnstown, PA, US",Associate,Corporate,2-5 People,Yes,Unpaid Overtime,20.0,"4,000",Full-time,31-40,66-70,Male,Licensed,UG:The Pennsylvania State University (Penn State),,,Mar '17
10686,8,"85,000",peryear,"Seattle, WA, US",Project Architect,Boutique,2-5 People,Yes,Unpaid Overtime,10.0,"3,000",Full-time,6-7,31-35,Male,Licensed,UG:University of Wisconsin-Milwaukee,,,Mar '17
10685,10,"87,000",peryear,"Seattle, WA, US",BIM Specialist,Other,501 + People,Yes,No Overtime,14.0,"7,250",Full-time,11-15,36-40,Male,Licensed,"UG:California State Polytechnic University, Pomona",,,Mar '17
10684,7,"52,500",peryear,"Jacksonville, FL, US",Project Manager,Individual,6-10 People,Yes,Unpaid Overtime,15.0,"3,000",Full-time,6-7,31-35,Female,No,UG:University of Florida,Grad:University of Florida,,Mar '17
10683,6,"85,000",peryear,"Boston, MA, US",Project Manager,Corporate,31-50 People,Yes,No Overtime,10.0,"5,000",Full-time,16-20,36-40,Male,Licensed,,,,Mar '17
10682,2,"80,000",peryear,"Chattanooga, TN, US",Senior Architect,Starchitect,31-50 People,Yes,Unpaid Overtime,10.0,,Full-time,16-20,41-45,Male,Licensed,,,,Mar '17
10681,7,"44,000",peryear,"Pittsburgh, PA, US",Intern,Individual,16-30 People,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Female,No,UG:The Pennsylvania State University (Penn State),,,Mar '17
10679,6,"42,000",peryear,"Philadelphia, PA, US",Intermediate Designer,Boutique,6-10 People,Yes,Unpaid Overtime,10.0,"1,000",Full-time,3-5,21-25,Male,No,UG:Drexel University,,,Mar '17
10677,7,"49,000",peryear,"New York, NY, US",Junior Architect,Starchitect,31-50 People,Yes,Unpaid Overtime,,,Full-time,3-5,26-30,Female,No,,,,Mar '17
10676,8,"53,000",peryear,"Philadelphia, PA, US",Junior Architect,Corporate,101-200 People,Yes,Paid Overtime,18.0,"5,000",Full-time,1,21-25,Female,No,,Grad:University of Pennsylvania,,Mar '17
10675,7,"69,000",peryear,"Los Angeles, CA, US",Intermediate Architect,Boutique,16-30 People,Yes,Unpaid Overtime,,"2,500",Full-time,8-10,31-35,Male,Licensed,UG:University of Southern California (USC),,,Mar '17
10674,4,"73,000",peryear,"Chicago, IL, US",Project Manager,Boutique,11-15 People,Yes,Unpaid Overtime,15.0,"2,000",,8-10,36-40,Male,Licensed,UG:Florida A&M University,Grad:University of Illinois at Urbana-Champaign,,Mar '17
10673,10,"89,000",peryear,"Fayetteville, AR, US",Project Architect,Other,2-5 People,Yes,No Overtime,,,Full-time,6-7,31-35,Male,Licensed,UG:University of Arkansas,,,Mar '17
10672,8,"48,000",peryear,"Philadelphia, PA, US",Designer,Other,16-30 People,Yes,Unpaid Overtime,,"7,000",Full-time,3-5,26-30,Male,No,UG:The Pennsylvania State University (Penn State),,,Mar '17
10671,8,"74,000",peryear,"Seattle, WA, US",Project Architect,Corporate,51-100 People,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Female,Licensed,,,,Mar '17
10669,3,"42,000",peryear,"Wood-Ridge, NJ, US",Designer,Individual,6-10 People,,No Overtime,,500,Full-time,3,21-25,Female,No,,,,Mar '17
10667,10,"53,000",peryear,"Atlanta, GA, US",Designer,Corporate,501 + People,Yes,Paid Overtime,,,Full-time,3-5,26-30,Male,No,UG:East Carolina University,Grad:Clemson University,,Mar '17
10661,7,"88,000",peryear,"San Francisco, CA, US",Project Manager,Corporate,51-100 People,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Male,Licensed,UG:UC Berkeley CED,,,Mar '17
10659,5,"50,000",peryear,"Boston, MA, US",Designer,Boutique,6-10 People,Yes,Unpaid Overtime,10.0,"1,300",Full-time,3-5,26-30,Female,No,UG:University of Nebraska-Lincoln,Grad:Rhode Island School of Design (RISD),,Mar '17
10651,7,22,perhour,"Boston, MA, US",Intern,,51-100 People,,Paid Overtime,,500,Part-time,2,21-25,Male,No,,,,Mar '17
10650,10,"60,000",peryear,"Washington, DC, US",Intermediate Designer,Corporate,51-100 People,Yes,Unpaid Overtime,15.0,"2,500",Full-time,2,21-25,Male,No,,Grad:Harvard University,,Mar '17
10649,7,"59,000",peryear,"San Francisco, CA, US",Designer,Corporate,101-200 People,Yes,Paid Overtime,14.0,"4,000",Full-time,3-5,31-35,Male,No,UG:Oklahoma State University,,PhD:Southern California Institute of Architecture (SCI-Arc),Mar '17
10648,7,50,peryear,"Tulsa, OK, US",Project Architect,,2-5 People,,,,,,6-7,31-35,Female,Licensed,,,,Mar '17
10647,9,"82,000",peryear,"New York, NY, US",Project Manager,,51-100 People,Yes,,,"2,000",,3-5,36-40,Male,Licensed,,,,Mar '17
10644,8,"80,000",peryear,"Los Angeles, CA, US",Project Architect,Other,31-50 People,Yes,Unpaid Overtime,15.0,,Full-time,8-10,36-40,Male,Licensed,,Grad:Southern California Institute of Architecture (SCI-Arc),,Mar '17
10643,6,"57,000",peryear,"San Francisco, CA, US",Associate,,31-50 People,Yes,Paid Overtime,14.0,,Full-time,2,21-25,Female,No,UG:University of Southern California (USC),,,Mar '17
10641,8,"80,000",peryear,"Cambridge, MA, US",Project Architect,Other,31-50 People,Yes,Unpaid Overtime,15.0,"25,000",Full-time,16-20,36-40,Female,Licensed,UG:Ball State University,,,Mar '17
10640,8,"78,000",peryear,"Trenton, NJ, US",Senior Architect,Corporate,51-100 People,Yes,Unpaid Overtime,20.0,"14,000",Full-time,21-25,46-50,Male,Licensed,UG:New Jersey Institute of Technology (NJIT),,,Mar '17
10639,8,"80,000",peryear,"New York, NY, US",Project Architect,Boutique,2-5 People,,No Overtime,25.0,"3,000",Full-time,6-7,26-30,Male,No,,Grad:Parsons The New School for Design,,Mar '17
10638,9,"80,000",peryear,"San Francisco, CA, US",Senior Designer,Boutique,16-30 People,Yes,No Overtime,15.0,"1,500",Full-time,6-7,26-30,Male,No,UG:Southern California Institute of Architecture (SCI-Arc),,,Mar '17
10637,9,"54,000",peryear,"New York, NY, US",Designer,Corporate,16-30 People,Yes,No Overtime,10.0,"5,000",Full-time,1,21-25,Male,No,UG:University of Florida,Grad:University of Pennsylvania,,Mar '17
10636,3,"77,000",peryear,"Los Angeles, CA, US",Project Architect,Boutique,31-50 People,Yes,Unpaid Overtime,10.0,,Full-time,8-10,36-40,Male,No,UG:Bowling Green State University,Grad:University of Cincinnati,,Mar '17
10635,10,"72,000",peryear,"New York, NY, US",Engineer,Boutique,101-200 People,Yes,Paid Overtime,10.0,"4,000",Full-time,2,31-35,Male,No,UG:University at Buffalo,Grad:Universitat Politècnica de Catalunya (UPC),,Mar '17
10634,7,"67,000",peryear,"New York, NY, US",Intermediate Architect,Corporate,501 + People,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Female,No,UG:Pratt Institute,,,Mar '17
10633,7,"61,360",peryear,"Irvine, CA, US",Junior Designer,Corporate,31-50 People,Yes,Paid Overtime,10.0,"1,500",Full-time,3-5,26-30,Male,No,"UG:California State Polytechnic University, Pomona",,,Mar '17
10632,7,"90,000",peryear,"Los Angeles, CA, US",Owner,Individual,2-5 People,Yes,Paid Overtime,40.0,,Full-time,11-15,31-35,Male,Licensed,UG:Georgetown University,Grad:Washington University in St. Louis,,Mar '17
10630,1,"83,000",peryear,"New York, NY, US",Project Architect,Starchitect,51-100 People,Yes,Unpaid Overtime,8.0,,Full-time,8-10,31-35,Female,Licensed,,,,Mar '17
10629,7,55,perhour,"New York, NY, US",Designer,Other,31-50 People,Yes,No Overtime,14.0,,Part-time,6-7,31-35,Female,No,UG:University of Georgia,Grad:Pratt Institute,,Mar '17
10628,6,"63,000",peryear,"New York, NY, US",Project Manager,,16-30 People,Yes,Unpaid Overtime,,"1,000",Full-time,3-5,31-35,Female,No,,,,Mar '17
10627,4,"66,000",peryear,"New York, NY, US",Project Architect,Individual,2-5 People,,No Overtime,10.0,,Full-time,6-7,31-35,Female,Licensed,,Grad:Pratt Institute,,Mar '17
10626,10,"47,500",peryear,"Kansas City, MO, US",Designer,Boutique,6-10 People,Yes,Unpaid Overtime,5.0,"2,000",Full-time,1,21-25,Male,No,UG:The University of Kansas,,,Mar '17
10625,10,"32,000",peryear,"Rochester, NY, US",Intern,Boutique,6-10 People,,Unpaid Overtime,,,Full-time,< 1,21-25,Female,No,UG:University at Buffalo,Grad:University at Buffalo,,Mar '17
10624,7,"85,000",peryear,"Dallas, TX, US",Project Architect,Boutique,31-50 People,Yes,Unpaid Overtime,10.0,,Full-time,6-7,31-35,Male,Licensed,UG:Texas Tech University,Grad:Harvard University,,Mar '17
10622,5,"33,280",peryear,"Ann Arbor, MI, US",Intern,Individual,1 People,,Paid Overtime,14.0,500,Full-time,< 1,21-25,Female,No,UG:University of Michigan,,,Mar '17
10621,10,"192,000",peryear,"New York, US",Project Manager,Other,101-200 People,Yes,No Overtime,15.0,,Full-time,21-25,41-45,Male,Licensed,,Grad:Universidad Nacional de Colombia,,Mar '17
10620,8,"46,000",peryear,"Boston, MA, US",Designer,,31-50 People,,Paid Overtime,10.0,"4,000",Full-time,3-5,26-30,Male,No,UG:Boston Architectural College (BAC),,,Mar '17
10619,8,"102,000",peryear,"New York, NY, US",Visualization Artist,Corporate,501 + People,Yes,No Overtime,18.0,,Full-time,8-10,36-40,Male,No,UG:New York Institute of Technology (NYIT),,,Mar '17
10617,7,"78,000",peryear,"Los Angeles, CA, US",Project Architect,Boutique,101-200 People,Yes,Unpaid Overtime,10.0,"1,850",Full-time,6-7,26-30,Female,Licensed,UG:University of Southern California (USC),,,Mar '17
10616,8,"103,000",peryear,"Pleasanton, CA, US",BIM Specialist,Other,101-200 People,Yes,Unpaid Overtime,15.0,"6,000",Full-time,8-10,31-35,Male,No,UG:Bowling Green State University,,,Mar '17
10615,10,"60,000",peryear,"Manchester, NH, US",Project Architect,Corporate,51-100 People,Yes,Unpaid Overtime,18.0,"6,000",Full-time,8-10,31-35,Male,Licensed,,,,Mar '17
10611,10,"78,000",peryear,"Newport Beach, CA, US",Business Manager,Boutique,11-15 People,Yes,No Overtime,15.0,,Full-time,31-40,56-60,Female,No,,,,Mar '17
10610,10,130,perhour,"Downers Grove, IL, US",Owner,Individual,1 People,,Paid Overtime,30.0,,Full-time,16-20,41-45,Female,Licensed,UG:University of Idaho,Grad:University of Illinois at Chicago,,Mar '17
10608,5,"50,000",peryear,"Brooklyn, NY, US",Junior Architect,Boutique,6-10 People,Yes,Unpaid Overtime,10.0,"2,500",Full-time,2,26-30,Male,No,UG:University of Washington,Grad:Yale University,,Mar '17
10607,8,"48,000",peryear,"Chicago, IL, US",Designer,Corporate,16-30 People,Yes,Unpaid Overtime,10.0,"1,500",Full-time,2,21-25,Female,No,UG:University of Illinois at Urbana-Champaign,,,Mar '17
10604,5,"55,000",peryear,"New York, NY, US",Designer,Starchitect,11-15 People,,No Overtime,15.0,,Full-time,2,21-25,Male,No,UG:California College of the Arts,,,Mar '17
10603,10,"57,000",peryear,"Atlanta, GA, US",Intern,,501 + People,,,,,,3-5,31-35,Female,No,,,,Mar '17
10602,5,"86,000",peryear,"Chicago, IL, US",Associate,Corporate,501 + People,Yes,Unpaid Overtime,15.0,"5,000",Full-time,8-10,31-35,Male,Licensed,UG:University of Michigan,Grad:University of Illinois at Chicago,,Mar '17
10601,5,"55,000",peryear,"San Francisco, CA, US",Designer,,11-15 People,Yes,,15.0,,Full-time,2,26-30,Male,No,,,,Mar '17
10598,7,"58,000",peryear,"Atlanta, GA, US",Job Captain,,16-30 People,,,15.0,"10,000",,3-5,26-30,Male,No,UG:Kennesaw State University,,,Mar '17
10596,7,"91,000",peryear,"Baltimore, MD, US",Associate,Corporate,31-50 People,Yes,Unpaid Overtime,15.0,"3,300",Full-time,11-15,36-40,Male,Licensed,,,,Mar '17
10595,6,"62,000",peryear,"Tallahassee, FL, US",Project Architect,,6-10 People,,,,,,11-15,31-35,Male,No,,,,Mar '17
10594,10,"42,000",peryear,"Saint Louis, MO, US",Associate,,31-50 People,,,,,,1,21-25,Male,No,,,,Mar '17
10593,8,"50,000",peryear,"Boston, MA, US",Designer,Other,31-50 People,Yes,No Overtime,15.0,,Full-time,1,26-30,Female,No,UG:University of Michigan,Grad:Harvard University,,Mar '17
10592,8,"58,000",peryear,"San Francisco, CA, US",Intermediate Designer,Boutique,2-5 People,,No Overtime,,"3,000",Freelance,8-10,41-45,Female,No,,,,Mar '17
10591,5,"113,000",peryear,"New York, NY, US",Senior Architect,Corporate,201-500 People,Yes,Unpaid Overtime,10.0,,Full-time,16-20,56-60,Male,Licensed,,,,Mar '17
10590,8,"180,000",peryear,"Boston, MA, US",Principal,Corporate,501 + People,Yes,,30.0,,Full-time,26-30,56-60,Male,Licensed,UG:Cornell University,Grad:Cornell University,,Mar '17
10589,8,"88,200",peryear,"Boston, MA, US",Associate,Other,101-200 People,Yes,Unpaid Overtime,15.0,"10,000",Full-time,8-10,31-35,Female,Licensed,"UG:University of California, Berkeley",,,Mar '17
10586,5,"47,000",peryear,"New York, NY, US",Junior Designer,Corporate,501 + People,Yes,Paid Overtime,10.0,,Full-time,2,21-25,Female,No,UG:Pratt Institute,,,Mar '17
10584,5,"82,000",peryear,"New York, NY, US",Project Architect,Starchitect,51-100 People,Yes,Unpaid Overtime,22.0,"4,000",Full-time,8-10,31-35,Male,Licensed,,,,Mar '17
10583,7,"129,000",peryear,"New York, NY, US",Construction Administrator,Corporate,201-500 People,Yes,Unpaid Overtime,15.0,"15,000",Full-time,26-30,56-60,Male,Licensed,,,,Mar '17
10582,7,"85,000",peryear,"New York, NY, US",Senior Designer,,201-500 People,,,,,,6-7,31-35,Male,No,,,,Mar '17
10581,7,"80,000",peryear,"New York, NY, US",Project Architect,Corporate,51-100 People,Yes,Unpaid Overtime,20.0,,Full-time,26-30,46-50,Male,No,UG:New York Institute of Technology (NYIT),,,Mar '17
10580,3,55,peryear,"New York, NY, US",BIM Specialist,Individual,11-15 People,Yes,Unpaid Overtime,10.0,"6,000",Full-time,3,26-30,Male,No,UG:New York Institute of Technology (NYIT),,,Mar '17
10579,10,"105,000",peryear,"Boston, MA, US",Principal,Corporate,51-100 People,Yes,Unpaid Overtime,20.0,,Full-time,21-25,46-50,Male,Licensed,UG:Rensselaer Polytechnic Institute,,,Mar '17
10578,7,"110,000",peryear,"New York, NY, US",Project Architect,Other,501 + People,Yes,No Overtime,26.0,,Full-time,21-25,41-45,Male,Licensed,UG:Cornell University,,,Mar '17
10577,1,"60,000",peryear,"Irvine, CA, US",Junior Architect,,31-50 People,,,,,,3-5,21-25,Female,No,,,,Mar '17
10573,7,"60,000",peryear,"Detroit, MI, US",Designer,Corporate,51-100 People,Yes,Paid Overtime,15.0,"3,000",Full-time,8-10,31-35,Male,No,UG:Lawrence Technological University,,,Mar '17
10572,8,"53,500",peryear,"Tampa, FL, US",Intern,Corporate,201-500 People,Yes,Paid Overtime,14.0,,Full-time,3,36-40,Female,No,,,,Mar '17
10571,1,16,perhour,"Miami, FL, US",Junior Architect,Individual,2-5 People,Yes,No Overtime,,,Full-time,3-5,26-30,Female,No,UG:University of Miami,,,Mar '17
10570,7,"70,000",peryear,"New York, NY, US",Project Architect,Corporate,31-50 People,Yes,Unpaid Overtime,10.0,"20,000",Full-time,3-5,31-35,Female,No,,Grad:Massachusetts Institute of Technology (MIT),,Mar '17
10569,9,"35,000",peryear,"Albany, NY, US",Intern,Other,16-30 People,Yes,Unpaid Overtime,11.0,"13,000",Full-time,2,21-25,Male,No,UG:University of Virginia,Grad:University of Virginia,,Mar '17
10568,6,"76,000",peryear,"Boston, MA, US",Associate,Corporate,51-100 People,Yes,No Overtime,15.0,"2,000",Full-time,8-10,31-35,Male,Licensed,UG:Syracuse University,,,Mar '17
10567,6,23,perhour,"Denver, CO, US",BIM Specialist,Individual,16-30 People,Yes,Paid Overtime,12.0,"1,500",Full-time,1,26-30,Female,No,,,,Mar '17
10565,9,"52,000",peryear,"Phoenix, AZ, US",Associate,Boutique,2-5 People,Yes,No Overtime,10.0,,Full-time,2,26-30,Male,No,UG:Arizona State University,Grad:Arizona State University,,Mar '17
10563,4,"58,240",peryear,"New Haven, CT, US",Designer,Starchitect,101-200 People,Yes,Paid Overtime,10.0,"5,000",Full-time,3-5,31-35,Male,No,,,,Mar '17
10562,8,"53,000",peryear,"New York, NY, US",Designer,Other,501 + People,Yes,Paid Overtime,15.0,,Full-time,2,26-30,Male,No,UG:The Cooper Union,,,Mar '17
10561,7,"36,400",peryear,"Cincinnati, OH, US",Intern,Corporate,51-100 People,,Paid Overtime,,,Full-time,2,21-25,Female,No,UG:University of Kentucky,Grad:University of Cincinnati,,Mar '17
10560,4,"30,500",peryear,"Lexington, KY, US",Intern,Boutique,11-15 People,Yes,Unpaid Overtime,10.0,,Full-time,3-5,21-25,Male,No,UG:University of Kentucky,,,Mar '17
10559,5,"50,000",peryear,"Bellevue, WA, US",Junior Designer,Boutique,11-15 People,Yes,No Overtime,,"5,000",Full-time,2,26-30,Male,No,UG:Washington State University,Grad:Washington State University,,Mar '17
10558,7,"70,000",peryear,"New York, NY, US",Intermediate Architect,Corporate,31-50 People,,,20.0,,,3-5,31-35,Male,No,,Grad:Columbia University,,Mar '17
10557,6,"60,000",peryear,"New York, NY, US",Intermediate Architect,Corporate,51-100 People,Yes,Unpaid Overtime,20.0,"3,000",Full-time,3-5,31-35,Female,No,,Grad:Columbia University,,Mar '17
10556,10,"48,000",peryear,"Los Angeles, CA, US",Job Captain,Boutique,6-10 People,,,10.0,500,Full-time,3,31-35,Male,No,,Grad:University of Southern California (USC),,Mar '17
10555,10,"50,000",peryear,"Boston, MA, US",Revit Specialist,Corporate,11-15 People,Yes,Unpaid Overtime,10.0,,Full-time,6-7,31-35,Male,No,UG:Azad University,,,Mar '17
10554,6,"45,900",peryear,"Denver, CO, US",Associate,Corporate,51-100 People,Yes,No Overtime,18.0,,Full-time,2,21-25,Male,No,UG:University of Cincinnati,,,Mar '17
10553,6,"44,000",peryear,"Austin, TX, US",Junior Architect,Boutique,6-10 People,Yes,No Overtime,20.0,,Full-time,3-5,26-30,Female,No,UG:The University of Texas at Austin,,,Mar '17
10552,8,"70,000",peryear,"New York, NY, US",Designer,Other,11-15 People,Yes,Unpaid Overtime,10.0,"2,500",Full-time,3,21-25,Female,No,,,,Mar '17
10550,8,"62,000",peryear,"Worcester, MA, US",Designer,Corporate,11-15 People,Yes,No Overtime,21.0,,Full-time,3-5,26-30,Male,No,,,,Feb '17
10549,10,21,perhour,"Stockbridge, MA, US",Designer,Boutique,2-5 People,,Paid Overtime,7.0,500,Full-time,3-5,26-30,Male,No,,,,Feb '17
10547,7,"55,500",peryear,"Miami, FL, US",Intermediate Architect,Corporate,501 + People,Yes,Paid Overtime,15.0,,Full-time,3-5,26-30,Female,No,UG:University of Florida,Grad:University of Florida,,Feb '17
10546,3,"60,000",peryear,"San Francisco, CA, US",Designer,Boutique,6-10 People,Yes,Paid Overtime,20.0,"2,500",Full-time,3-5,26-30,Female,No,UG:The University of Tennessee - Knoxville,,,Feb '17
10545,9,"32,250",peryear,"Madison, WI, US",Intern,Boutique,11-15 People,Yes,Unpaid Overtime,10.0,750,Full-time,1,18-20,Male,No,,,,Feb '17
10544,9,"50,000",peryear,"Cincinnati, OH, US",Junior Architect,Boutique,6-10 People,Yes,Paid Overtime,10.0,"2,500",Full-time,3-5,26-30,Male,No,UG:University of Cincinnati,Grad:University of Cincinnati,,Feb '17
10543,4,84,peryear,"Connecticut, US",Senior Architect,Boutique,51-100 People,Yes,Paid Overtime,15.0,,Full-time,16-20,36-40,Male,Licensed,,,,Feb '17
10542,7,"98,000",peryear,"San Francisco, CA, US",Senior Architect,Corporate,16-30 People,Yes,No Overtime,15.0,"1,000",Full-time,21-25,36-40,Male,Licensed,,,,Feb '17
10541,8,"79,500",peryear,"San Francisco, CA, US",Associate,Other,11-15 People,Yes,Unpaid Overtime,12.0,"1,500",Full-time,8-10,36-40,Male,No,UG:University of Southern California (USC),,,Feb '17
10539,5,"55,000",peryear,"San Francisco, CA, US",Intermediate Designer,Corporate,201-500 People,Yes,Unpaid Overtime,15.0,,Full-time,3-5,31-35,Female,No,UG:California College of the Arts,,,Feb '17
10537,7,"53,000",peryear,"Philadelphia, PA, US",Landscape Architect,Corporate,51-100 People,Yes,No Overtime,10.0,"1,300",,3-5,36-40,Female,No,,Grad:University of Pennsylvania,,Feb '17
10536,7,"57,500",peryear,"Jacksonville, FL, US",Intermediate Architect,,16-30 People,,,,,,3,26-30,Male,No,,,,Feb '17
10535,8,"70,000",peryear,"San Francisco, CA, US",Designer,Corporate,101-200 People,Yes,Paid Overtime,21.0,"2,000",Full-time,3-5,31-35,Male,No,,Grad:Massachusetts Institute of Technology (MIT),,Feb '17
10534,7,"69,000",peryear,"New York, NY, US",Junior Architect,,201-500 People,,,,,,3,21-25,Male,No,,,,Feb '17
10533,6,"42,000",peryear,"Los Angeles, CA, US",Job Captain,Individual,2-5 People,,No Overtime,,,Full-time,6-7,31-35,Female,No,,,,Feb '17
10531,8,"135,000",peryear,"Saint Paul, MN, US",Principal,Other,16-30 People,Yes,Unpaid Overtime,15.0,"10,000",Full-time,11-15,41-45,Male,Licensed,,,,Feb '17
10530,7,"90,000",peryear,"Richmond, VA, US",Senior Architect,Corporate,201-500 People,Yes,Paid Overtime,15.0,"3,500",Full-time,16-20,41-45,Male,Licensed,UG:University of Houston,,,Feb '17
10528,7,"75,000",peryear,"Los Angeles, CA, US",Intermediate Architect,Boutique,11-15 People,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,Licensed,,Grad:University of Southern California (USC),,Feb '17
10523,8,"72,000",peryear,"Seattle, WA, US",Senior Designer,Corporate,11-15 People,Yes,Unpaid Overtime,12.0,0,Full-time,6-7,31-35,Male,No,,,,Feb '17
10521,8,0,peryear,"New York, NY, US",Intern,Other,2-5 People,,Unpaid Overtime,,,Full-time,< 1,26-30,Female,No,,Grad:Sapienza - Università di Roma,,Feb '17
10520,7,"115,000",peryear,"Los Angeles, CA, US",Project Manager,Other,16-30 People,Yes,No Overtime,,"3,500",Full-time,16-20,41-45,Female,Licensed,,,,Feb '17
10519,6,"47,500",peryear,"Boston, MA, US",Designer,Boutique,11-15 People,,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,Feb '17
10517,8,"60,000",peryear,"Washington, DC, US",Junior Architect,Other,16-30 People,Yes,Unpaid Overtime,15.0,,Full-time,2,26-30,Female,No,UG:The Catholic University of America,Grad:The Catholic University of America,,Feb '17
10515,5,"100,000",peryear,"Los Angeles, CA, US",CAD Manager,Boutique,6-10 People,Yes,Paid Overtime,10.0,"20,000",Full-time,8-10,31-35,Female,No,,,,Feb '17
10513,5,"90,000",peryear,"Chicago, IL, US",Technical Architect,Corporate,501 + People,Yes,Paid Overtime,26.0,"20,000",,16-20,36-40,Female,Licensed,UG:University of Illinois at Urbana-Champaign,Grad:University of Illinois at Urbana-Champaign,,Feb '17
10511,8,"115,000",peryear,"New York, US",Senior Architect,Boutique,31-50 People,Yes,Unpaid Overtime,15.0,"20,000",Full-time,11-15,36-40,Male,Licensed,,Grad:Columbia University,,Feb '17
10508,10,"52,000",peryear,"Seattle, WA, US",Junior Architect,Corporate,101-200 People,Yes,,14.0,"4,000",Full-time,3,21-25,Female,No,UG:Virginia Polytechnic Institute and State University (Virginia Tech),,,Feb '17
10507,5,"60,000",peryear,"Austin, TX, US",Designer,Boutique,16-30 People,Yes,,,"2,000",Full-time,3-5,36-40,Male,No,,,,Feb '17
10505,3,"102,000",peryear,"New York, US",Project Manager,Corporate,201-500 People,Yes,Unpaid Overtime,10.0,"1,700",Full-time,21-25,46-50,Male,No,,,,Feb '17
10504,5,"45,000",peryear,"San Diego, CA, US",Draftsperson,Corporate,6-10 People,Yes,Paid Overtime,6.0,670,Full-time,8-10,41-45,Female,No,UG:Universidad Santa Maria (USM),,,Feb '17
10503,7,"75,000",peryear,"Phoenix, AZ, US",Project Manager,,2-5 People,Yes,Unpaid Overtime,10.0,"1,000",,8-10,31-35,Male,Licensed,,,,Feb '17
10500,9,"80,000",peryear,"New York, NY, US",Project Manager,Other,51-100 People,Yes,Paid Overtime,10.0,"5,000",Full-time,8-10,31-35,Male,No,UG:New York Institute of Technology (NYIT),,,Feb '17
10498,8,"53,000",peryear,"Santa Barbara, CA, US",Designer,Individual,11-15 People,Yes,Unpaid Overtime,,"1,000",Full-time,< 1,26-30,Female,No,,,,Feb '17
10497,7,"57,000",peryear,"Santa Barbara, CA, US",Junior Designer,Other,16-30 People,Yes,Unpaid Overtime,,,Full-time,1,21-25,Male,No,,,,Feb '17
10496,5,"100,000",peryear,"New York, NY, US",Senior Designer,Boutique,31-50 People,Yes,Unpaid Overtime,10.0,"2,500",Full-time,11-15,36-40,Male,No,,,,Feb '17
10493,8,"36,400",peryear,"Salem, OR, US",Interior Designer,Corporate,16-30 People,Yes,Paid Overtime,10.0,300,Full-time,3-5,21-25,Female,No,UG:University of Cincinnati,,,Feb '17
10492,4,"57,750",peryear,"New York, NY, US",Construction Administrator,Other,101-200 People,Yes,Paid Overtime,10.0,"2,100",Full-time,1,26-30,Female,No,UG:Pratt Institute,,,Feb '17
10491,7,16,perhour,"Covina, CA, US",Intern,Corporate,2-5 People,,Paid Overtime,3.0,,Full-time,< 1,21-25,Male,No,,,,Feb '17
10490,5,"61,000",peryear,"Los Angeles, CA, US",Interior Designer,Boutique,31-50 People,Yes,Unpaid Overtime,15.0,"3,000",Full-time,8-10,36-40,Male,No,,,,Feb '17
10488,7,"65,000",peryear,"New York, NY, US",Intermediate Architect,,201-500 People,,,,,,6-7,31-35,Male,No,,,,Feb '17
10487,4,"47,500",peryear,"Santa Barbara, CA, US",Junior Designer,Boutique,31-50 People,Yes,Unpaid Overtime,5.0,"1,500",Full-time,1,21-25,Female,No,,,,Feb '17
